name,symbol,country,exchange,sector
K.C. Property PCL ,kc,thailand,xbkk,real estate developers
K.G. Denim Ltd. ,500239,india,xbom,clothing
K.H. Group Holdings Ltd. ,1557,hong kong,xhkg,construction
K.P. Energy Ltd. ,539686,india,xbom,renewable energy generation
K.R.S. Corp. ,9369,japan,xtks,transportation services
K.S. Terminals Inc. ,3003,taiwan,xtai,industrial electronics
K.S.B. Pumps Co. Ltd. ,ksbp,pakistan,xkar,industrial machinery
K.W. Metal Work PCL ,kwm,thailand,xbkk,mobile machinery
K.W. Nelson Interior Design & Contracting Group Ltd. ,8411,hong kong,xhkg,general services
K.Z. Leasing & Finance Ltd. ,511728,india,xbom,finance companies
K+S AG ,kpluf,united states,ootc,chemicals
K+S AG ,0q2n,united kingdom,xlon,chemicals
K+S AG ,sdf,united states,xetr,chemicals
K+S AG ADR ,kpluy,united states,ootc,chemicals
K+S AG ADR ,sdf1,germany,xfra,None
K2 Asset Management Holdings Ltd. ,kam,australia,xasx,investment advisors
K2 F&B Holdings Ltd. ,2108,hong kong,xhkg,restaurants
K2 Gold Corp. ,kto,canada,xtsx,gold
K2 Gold Corp. ,ktgdf,united states,ootc,gold
K2 Holding S.A. ,k2h,poland,xwar,advertising/marketing/public relations
K2 LT AB ,k2lt,lithuania,xlit,consumer services
K2A Knaust & Andersson Fastigheter AB ,k2a.pref,sweden,xsto,real estate developers
K2fly Ltd. ,k2f,australia,xasx,software
K3 Business Technology Group PLC ,kbt,united kingdom,xlon,software
K3 Capital Group PLC ,k3c,united kingdom,xlon,investment advisors
K9 Gold Corp. ,wdfcf,united states,ootc,gold
K9 Gold Corp. ,knc,canada,xtsx,gold
K92 Mining Inc. ,kntnf,united states,ootc,gold
K92 Mining Inc. ,knt,canada,xtse,gold
Ka Shui International Holdings Ltd. ,822,hong kong,xhkg,non-ferrous metals
Kaanapali Land LLC ,kanp,united states,ootc,real estate developers
Kaap Agri Ltd. ,kal,south africa,xjse,farming
