name,symbol,country,exchange,sector
01 Communique Laboratory Inc. ,one,canada,xtsx,software
01 Communique Laboratory Inc. ,oonef,united states,ootc,software
01Cyberaton Proenergy S.A. ,01c,poland,xwar,industrial electronics
09women Co. Ltd. ,366030,south korea,xkrx,clothing retail
1 Production Film Co. ,8458,taiwan,roco,motion picture/sound recording
1&1 AG ,1u1,united states,xetr,wireless telecommunications services
1&1 AG ,0e6y,united kingdom,xlon,wireless telecommunications services
1000mercis ,almil,france,xpar,advertising/marketing/public relations
104 Corp. ,3130,taiwan,xtai,employment/training services
10X Capital Venture Acquisition Corp. II Cl A ,vcxa,united states,xnas,shell companies
10X Capital Venture Acquisition Corp. II Un ,vcxau,united states,xnas,shell companies
10X Capital Venture Acquisition Corp. II Wt ,vcxaw,united states,xnas,None
10X Capital Venture Acquisition Corp. III ,vcxb.ut,united states,xnys,shell companies
10X Capital Venture Acquisition Corp. III Cl A ,vcxb,united states,xnys,shell companies
10X Capital Venture Acquisition Corp. III Wt ,vcxb.wt,united states,xnys,None
10x Genomics Inc. ,txg,united states,xnas,biotechnology
11 88 0 Solutions AG ,tgt,united states,xetr,publishing
11 Bit Studios S.A. ,11b,poland,xwar,toys & games
11 Bit Studios S.A. ,11c,germany,xfra,toys & games
111 Inc. ADR ,yi,united states,xnas,drug retail
1111 Exploration Corp. ,elvn,canada,xcnq,general mining
12 Retech Corp. ,retc,united states,ootc,software
123fahrschule SE ,123f,united states,xetr,consumer services
1369 Construction JSC ,c69,vietnam,hstc,construction
138 Student Living Jamaica Ltd. ,138sl,jamaica,xjam,real estate developers
1399 Internet Technology Application Group Inc. ,ysgg,united states,ootc,restaurants
1414 Degrees Ltd. ,14d,australia,xasx,industrial electronics
17 Education & Technology Group Inc. ADR ,yq,united states,xnas,software
180 Degree Capital Corp. ,turn,united states,xnas,closed-end funds
180 Life Sciences Corp. ,atnf,united states,xnas,biotechnology
180 Life Sciences Corp. Wt ,atnfw,united states,xnas,None
1-800-FLOWERS.COM Inc. Cl A ,flws,united states,xnas,specialty retail
1812 Brewing Co. Inc. ,kegs,united states,ootc,investment advisors
1834 Investments Ltd. ,1834,jamaica,xjam,finance companies
1844 Resources Inc. ,eff,canada,xtsx,general mining
1847 Goedeker Inc. ,goed,united states,xase,home goods retail
1847 Goedeker Inc. Wt ,goed.wt,united states,xase,None
1847 Holdings LLC ,efsh,united states,ootc,investment advisors
1867 Western Financial Corp. ,wfcl,united states,ootc,banking
1895 Bancorp of Wisconsin Inc. ,bcow,united states,xnas,banking
1911 Gold Corp. ,aumbf,united states,ootc,gold
1911 Gold Corp. ,aumb,canada,xtsx,gold
1933 Industries Inc. ,tgif,canada,xcnq,farming
1933 Industries Inc. ,tgiff,united states,ootc,farming
1957 & Co. Hospitality Ltd. ,8495,hong kong,xhkg,restaurants
1Life Healthcare Inc. ,onem,united states,xnas,healthcare provision
1pm Industries Inc. ,opmz,united states,ootc,food products
1Spatial PLC ,spa,united kingdom,xlon,software
1st Capital Bancorp ,fisb,united states,ootc,banking
1st Colonial Bancorp Inc. ,fcob,united states,ootc,banking
1st Group Ltd. ,1st,australia,xasx,healthcare provision
1st NRG Corp. ,fnrc,united states,ootc,oil extraction
1st Source Corp. ,srce,united states,xnas,banking
1stdibs.com Inc. ,dibs,united states,xnas,mixed retailing
20 Microns Ltd. ,533022,india,xbom,None
2020 Bulkers Ltd. ,2020,norway,xosl,water transport/shipping
21LADY Co. Ltd. ,3346,japan,xngo,diversified business services
21Shares Crypto Basket Index ETP ,hodl.usd,switzerland,xswx,investment advisors
22nd Century Group Inc. ,xxii,united states,xnas,biotechnology
23andMe Holding Co. ,me,united states,xnas,biotechnology
24SevenOffice Scandinavia AB ,247,sweden,xsat,internet/online
26 Capital Acquisition Corp. ,aderu,united states,xnas,shell companies
