name,symbol,country,exchange,sector
Guangdong Real-Design Intelligence Technology Co. Ltd. A ,301135,china,xshe,industrial electronics
Guangdong Redwall New Materials Co. Ltd. A ,002809,china,xshe,building materials/products
Guangdong Rifeng Electric Cable Co. Ltd. A ,002953,china,xshe,industrial electronics
Guangdong Rongtai Industry Co. Ltd. A ,600589,china,xshg,chemicals
Guangdong SACA Precision Manufacturing Co. Ltd. A ,300464,china,xshe,industrial products
Guangdong Sanhe Pile Co. Ltd. A ,003037,china,xshe,building materials/products
Guangdong Senssun Weighing Apparatus Group Ltd. A ,002870,china,xshe,industrial machinery
Guangdong Shaoneng Group Co. Ltd. A ,000601,china,xshe,renewable energy generation
Guangdong Shenglu Telecommunication Tech Co. Ltd. ,002446,china,xshe,networking
Guangdong Shenling Environmental Systems Co. Ltd. A ,301018,china,xshe,building materials/products
Guangdong Shirongzhaoye Co. Ltd. ,002016,china,xshe,real estate developers
Guangdong Shunkong Development Co. Ltd. A ,003039,china,xshe,water utilities
Guangdong Shunna Electric Co. Ltd. A ,000533,china,xshe,housewares
Guangdong Silver Age Sci & Tech Co. Ltd. ,300221,china,xshe,chemicals
Guangdong Sitong Group Co. Ltd. ,603838,china,xshg,housewares
Guangdong Songfa Ceramics Co. Ltd. ,603268,china,xshg,housewares
GuangDong SongYang Recycle Resources Co. Ltd. A ,603863,china,xshg,paper/pulp
Guangdong South New Media Co. Ltd. A ,300770,china,xshe,broadcasting
Guangdong Sunwill Precising Plastic Co. Ltd. ,002676,china,xshe,industrial products
Guangdong Taienkang Pharmaceutical Co. Ltd. A ,301263,china,xshe,drug retail
Guangdong Tannery Ltd. ,1058,hong kong,xhkg,clothing
Guangdong Tapai Group Co. Ltd. ,002233,china,xshe,building materials/products
Guangdong Tecsun Science & Technology Co. Ltd. A ,002908,china,xshe,precision products
Guangdong Tengen Industrial Group Co. Ltd. A ,003003,china,xshe,containers/packaging
Guangdong Tianan New Material Co. Ltd. A ,603725,china,xshg,chemicals
Guangdong Tianhe Agricultural Means of Production Co. Ltd. A ,002999,china,xshe,chemicals
Guangdong TianYiMa Information Industry Co. Ltd. A ,301178,china,xshe,computer services
Guangdong Tloong Technology Group Co. Ltd. A ,300063,china,xshe,chemicals
Guangdong Tonze Electric Co. Ltd. A ,002759,china,xshe,housewares
Guangdong Topstar Technology Co. Ltd. A ,300607,china,xshe,precision products
GuangDong Topstrong Living Innovation & Integration Co. Ltd. A ,300749,china,xshe,building materials/products
Guangdong Transtek Medical Electronics Co. Ltd. A ,300562,china,xshe,medical equipment/supplies
Guangdong Vanward New Electric Co. Ltd. ,002543,china,xshe,housewares
Guangdong VTR Bio-Tech Co. Ltd. ,300381,china,xshe,biotechnology
Guangdong Wanlima Industry Co. Ltd. ,300591,china,xshe,clothing
Guangdong Weide Information Technology Co. Ltd. A ,688171,china,xshg,computer services
Guangdong Xianglu Tungsten Co. Ltd. ,002842,china,xshe,non-ferrous metals
Guangdong Xinbao Electrical Appliances Holdings Co. Ltd. ,002705,china,xshe,housewares
Guangdong Xinhui Polyester Fibre Co. Ltd. A ,000782,china,xshe,chemicals
Guangdong Xiongsu Technology Group Co. Ltd. ,300599,china,xshe,building materials/products
Guangdong Yantang Dairy Co. Ltd. ,002732,china,xshe,food products
Guangdong Yizumi Precision Machinery Co. Ltd. ,300415,china,xshe,industrial machinery
Guangdong Yuehai Feeds Group Co. Ltd. A ,001313,china,xshe,food products
Guangdong Yueyun Transportation Co. Ltd. ,3399,hong kong,xhkg,transportation services
Guangdong Zhengye Technology Co. Ltd. ,300410,china,xshe,precision products
Guangdong Zhongsheng Pharmaceutical Co. Ltd. ,002317,china,xshe,pharmaceuticals
Guangdong-Hong Kong Greater Bay Area Holdings Ltd. ,1396,hong kong,xhkg,real estate developers
Guanghui Energy Co. Ltd. A ,600256,china,xshg,oil & gas products/services
Guanghui Logistics Co. Ltd. A ,600603,china,xshg,non-ferrous metals
Guanglian Aviation Industry Co. Ltd. A ,300900,china,xshe,aerospace products/parts
Guangshen Railway Co. Ltd. ,gngyf,united states,ootc,railroads
Guangshen Railway Co. Ltd. ,525,hong kong,xhkg,railroads
Guangshen Railway Co. Ltd. ,grch,germany,xfra,railroads
Guangshen Railway Co. Ltd. A ,601333,china,xshg,railroads
Guangxi Bossco Environmental Protection Technology Co. Ltd. ,300422,china,xshe,environment/waste management
Guangxi Fenglin Wood Industry Group Co. Ltd. ,601996,china,xshg,forestry & wood products
Guangxi Guidong Electric Power Co. Ltd. A ,600310,china,xshg,renewable energy generation
Guangxi Guiguan Electric Power Co. Ltd. A ,600236,china,xshg,renewable energy generation
Guangxi Hechi Chemical Co. Ltd. ,000953,china,xshe,chemicals
Guangxi Liugong Machinery Co. Ltd. ,000528,china,xshe,mobile machinery
Guangxi Liuzhou Pharmaceutical Co. Ltd. ,603368,china,xshg,pharmaceuticals
Guangxi Nanning Waterworks Co. Ltd. A ,601368,china,xshg,water utilities
