name,symbol,country,exchange,sector
Yunji Inc. ADR ,yj,united states,xnas,internet/online
Yunkang Group Ltd. ,2325,hong kong,xhkg,healthcare provision
Yunlu Sanayi ve Ticaret A.S. ,yunsa.e,turkey,xist,clothing
Yunnan Aluminium Co. Ltd. ,000807,china,xshe,aluminum
Yunnan Baiyao Group Co. Ltd. A ,000538,china,xshe,pharmaceuticals
Yunnan Botanee Biotechnology Group Co. Ltd. A ,300957,china,xshe,personal care products/appliances
Yunnan Bowin Technology Industry Co. Ltd. A ,600883,china,xshg,building materials/products
Yunnan Chihong Zinc & Germanium Co. Ltd. A ,600497,china,xshg,non-ferrous metals
Yunnan Coal & Energy Co. Ltd. A ,600792,china,xshg,chemicals
Yunnan Copper Co. Ltd. ,000878,china,xshe,non-ferrous metals
Yunnan Energy Investment Co. Ltd. A ,002053,china,xshe,general mining
Yunnan Energy New Material Co. Ltd. A ,002812,china,xshe,containers/packaging
Yunnan Jianzhijia Health-Chain Co. Ltd. A ,605266,china,xshg,drug retail
Yunnan Jinggu Forestry Co. Ltd. ,600265,china,xshg,forestry & wood products
Yunnan Lincang Xinyuan Germanium Industrial Co. Ltd. ,002428,china,xshe,non-ferrous metals
Yunnan Luoping Zinc & Electricity Co. Ltd. ,002114,china,xshe,non-ferrous metals
YunNan Metropolitan Real Estate Development Co. Ltd. ,600239,china,xshg,real estate developers
Yunnan Nantian Electronics Information Co. Ltd. A ,000948,china,xshe,computer services
Yunnan Shennong Agricultural Industry Group Co. Ltd. A ,605296,china,xshg,food products
Yunnan Tin Co. Ltd. A ,000960,china,xshe,non-ferrous metals
Yunnan Tourism Co. Ltd. ,002059,china,xshe,real estate developers
Yunnan Water Investment Co. Ltd. ,6839,hong kong,xhkg,water utilities
Yunnan Wenshan Electric Power Co. Ltd. A ,600995,china,xshg,renewable energy generation
Yunnan Xiyi Industrial Co. Ltd. ,002265,china,xshe,motor vehicle parts
Yunnan Yuntianhua Co. Ltd. A ,600096,china,xshg,chemicals
Yunnan Yuntou Ecology & Environment Technology Co. Ltd. A ,002200,china,xshe,general services
Yunnan Yunwei Co. Ltd. A ,600725,china,xshg,coal
Yura Tech Co. Ltd. ,048430,south korea,xkrx,motor vehicle parts
Yuranus Infrastructure Ltd. ,536846,india,xbom,real estate developers
Yurtec Corp. ,1934,japan,xtks,construction
Yusei Holdings Ltd. ,96,hong kong,xhkg,industrial products
Yushin Precision Equipment Co. Ltd. ,6482,japan,xtks,precision products
Yushiro Chemical Industry Co. Ltd. ,5013,japan,xtks,chemicals
Yusin Holding Corp. ,4557,taiwan,xtai,motor vehicle parts
Yusys Technologies Co. Ltd. A ,300674,china,xshe,computer services
Yutaka Foods Corp. ,2806,japan,xtks,food products
Yutong Bus Co. Ltd. A ,600066,china,xshg,commercial vehicles
Yutong Heavy Industries Co. Ltd. A ,600817,china,xshg,commercial vehicles
Yuvraaj Hygiene Products Ltd. ,531663,india,xbom,nondurable household products
YU-WA Creation Holdings Co. Ltd. ,7615,japan,xtks,clothing retail
Yuxing InfoTech Investment Holdings Ltd. ,8005,hong kong,xhkg,audio/video equipment
Yuyu Pharma Inc. ,000220,south korea,xkrx,pharmaceuticals
Yuyu Pharma Inc. Pfd. Series 1 ,000225,south korea,xkrx,pharmaceuticals
Yuyu Pharma Inc. Pfd. Series 2 ,000227,south korea,xkrx,pharmaceuticals
Yuzhou Group Holdings Co. Ltd. ,1628,hong kong,xhkg,real estate developers
YW Co. Ltd. ,051390,south korea,xkrx,networking
YZ Queenco Ltd. ,qnco,israel,xtae,gambling industries
