name,symbol,country,exchange,sector
Bargues Bros S.A. ,s3288,spain,xmad,mutual & other funds
Barigua S.A. ,s0365,spain,xmad,mutual & other funds
Barratt Developments PLC ADR ,btdpy,united states,ootc,residential building construction
Barrel Co. Ltd. ,267790,south korea,xkrx,clothing
Barings BDC Inc. ,bbdc,united states,xnys,closed-end funds
Baristas Coffee Co. Inc. ,bcci,united states,ootc,restaurants
Barrel Energy Inc. ,brll,united states,ootc,oil extraction
Barrett Business Services Inc. ,bbsi,united states,xnas,employment/training services
Barito Pacific ,brpt,indonesia,xidx,chemicals
BARK Inc. ,bark,united states,xnys,specialty retail
Barrick Gold Corp. ,gold,united states,xnys,gold
Barrick Gold Corp. ,0r22,united kingdom,xlon,gold
BARK Inc. Wt ,bark.wt,united states,xnys,None
Barka Desalination Co. SAOG ,brde,oman,xmus,water utilities
Barrick Gold Corp. ,abr,united states,xetr,gold
Barrick Gold Corp. ,abx,canada,xtse,gold
Barkby Group PLC ,bark,united kingdom,xlon,hotels
Barksdale Resources Corp. ,bro,canada,xtsx,gemstones
Barrick Gold Corp. ,goldn,mexico,xmex,gold
Barry Callebaut AG ,bycbf,united states,ootc,food products
Barksdale Resources Corp. ,brkcf,united states,ootc,gemstones
Barloworld Ltd. ,baw,south africa,xjse,diversified holding companies
Barry Callebaut AG ,0qo7,united kingdom,xlon,food products
Barry Callebaut AG ,barn,switzerland,xswx,food products
Barloworld Ltd. ADR ,brray,united states,ootc,diversified holding companies
Barnes & Noble Education Inc. ,bned,united states,xnys,specialty retail
Barry Callebaut AG ADR ,brrly,united states,ootc,food products
Barsele Minerals Corp. ,brslf,united states,ootc,general mining
Barnes Group Inc. ,b,united states,xnys,industrial products
Barnwell Industries Inc. ,brn,united states,xase,oil extraction
Barsele Minerals Corp. ,bme,canada,xtsx,general mining
Barton Gold Holdings Ltd. ,bgd,australia,xasx,gold
Baroda Extrusion Ltd. ,513502,india,xbom,non-ferrous metals
Baron Energy Inc. ,broe,united states,ootc,oil extraction
Bartronics India Ltd. ,532694,india,xbom,None
Baru Gold Corp. ,baruf,united states,ootc,gold
Baron Fonyody Inversiones S.A. ,s0955,spain,xmad,mutual & other funds
Baron Infotech Ltd. ,532336,india,xbom,software
Baru Gold Corp. ,baru,canada,xtsx,gold
Barunson Co. Ltd. ,018700,south korea,xkrx,nondurable household products
Baron Oil PLC ,boil,united kingdom,xlon,oil extraction
Baroque Japan Ltd. ,3548,japan,xtks,clothing retail
Barunson Entertainment & Arts Corp. ,035620,south korea,xkrx,toys & games
Barwa Real Estate Co. Q.S.C. ,bres,qatar,dsmd,real estate developers
Baroyeca Gold & Silver Inc. ,bgs,canada,xtsx,general mining
Baroyeca Gold & Silver Inc. ,brygf,united states,ootc,general mining
Basanite Inc. ,basa,united states,ootc,advertising/marketing/public relations
Basant Agro Tech (India) Ltd. ,524687,india,xbom,chemicals
Basasim Inversiones S.A. ,s0349,spain,xmad,mutual & other funds
Base Carbon Inc. ,bcbnf,united states,ootc,environment/waste management
Base Co. Ltd. ,4481,japan,xtks,software
BASE Inc. ,4477,japan,xtks,software
BASE Inc. ,bainf,united states,ootc,software
Base Resources Ltd. ,bse,australia,xasx,iron/steel
Base Resources Ltd. ,bse,united kingdom,xlon,iron/steel
Baselode Energy Corp. ,find,canada,xtsx,shell companies
Baselode Energy Corp. ,bsenf,united states,ootc,shell companies
Basen Investment S.A. ,s0333,spain,xmad,mutual & other funds
Basetrophy Group Holdings Ltd. ,8460,hong kong,xhkg,construction
BASF India Ltd. ,500042,india,xbom,chemicals
BASF SE ,basf,italy,xmil,chemicals
BASF SE ,bas,switzerland,xswx,chemicals
BASF SE ,0bfa,united kingdom,xlon,chemicals
BASF SE ,basf,hungary,xbud,chemicals
BASF SE ,bffaf,united states,ootc,chemicals
BASF SE ,bas,united states,xetr,chemicals
BASF SE ADR ,basfy,united states,ootc,chemicals
BASF SE ADR ,basa,germany,xfra,chemicals
Bashneft ,bane,russia,misx,major oil & gas
Bashneft Pfd. ,banep,russia,misx,major oil & gas
Bashundhara Paper Mills Ltd. ,bpml,bangladesh,xdha,paper/pulp
Basic Chemical Industries Co. ,1210,saudi arabia,xsau,chemicals
Basic Energy Corp. ,bsc,philippines,xphs,oil extraction
Basic Energy Services Inc. ,basxq,united states,ootc,oil & gas products/services
Basic-Fit N.V. ,bsfff,united states,ootc,recreational services
Basic-Fit N.V. ,bfit,netherlands,xams,recreational services
Basic-Fit N.V. ,0rhd,united kingdom,xlon,recreational services
BasicNet S.p.A. ,ban,italy,xmil,clothing
BasicNet S.p.A. ,0n6o,united kingdom,xlon,clothing
Basilea Pharmaceutica AG ,0qna,united kingdom,xlon,biotechnology
Basilea Pharmaceutica AG ,bsln,switzerland,xswx,biotechnology
Basin Uranium Corp. ,nclr,canada,xcnq,general mining
Basin Uranium Corp. ,burcf,united states,ootc,general mining
Basis Corp. ,4068,japan,xtks,construction
Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi A.S. ,basgz.e,turkey,xist,gas utilities
Basler AG ,0dui,united kingdom,xlon,precision products
Basler AG ,bsl,united states,xetr,precision products
Bass Oil Ltd. ,bas,australia,xasx,oil extraction
Bassac S.A. ,bass,france,xpar,residential building construction
Bassett Furniture Industries Inc. ,bset,united states,xnas,furniture
Bassline Productions Inc. ,bssp,united states,ootc,tourism
Basso Industry Corp. ,1527,taiwan,xtai,housewares
BAST JSC ,bast,kazakhstan,xkaz,non-ferrous metals
Bastas Baskent Cimento Sanayi ve Ticaret A.S. ,bascm.e,turkey,xist,building materials/products
Bastei Luebbe AG ,bst,united states,xetr,publishing
Bastide le Confort Medical S.A. ,blc,france,xpar,medical equipment/supplies
Bastide le Confort Medical S.A. ,0ip1,united kingdom,xlon,medical equipment/supplies
Bastion Minerals Ltd. ,bmo,australia,xasx,general mining
Bastion Square Partners Inc. ,basq.p,canada,xtsx,shell companies
Bastogi S.p.A. ,b,italy,xmil,diversified holding companies
BasWare Oyj ,bas1v,finland,xhel,software
BasWare Oyj ,0dp4,united kingdom,xlon,software
Bata India Ltd. ,500043,india,xbom,footwear
Bata Pakistan Ltd. ,bata,pakistan,xkar,footwear
Bata Shoe Co. (Bangladesh) Ltd. ,batashoe,bangladesh,xdha,footwear
Batavia Prosperindo Finance ,bpfi,indonesia,xidx,consumer finance
Batavia Prosperindo Internasional ,bpii,indonesia,xidx,diversified business services
Batavia Prosperindo Trans ,bptr,indonesia,xidx,general services
Batero Gold Corp. ,bat,canada,xtsx,gold
Batero Gold Corp. ,beldf,united states,ootc,gold
Batfam Inversiones 2000 S.A. ,s0355,spain,xmad,mutual & other funds
Bath & Body Works Inc. ,bbwi,united states,xnys,clothing retail
Bath & Body Works Inc. ,0jsc,united kingdom,xlon,clothing retail
Bathurst Metals Corp. ,bmv,canada,xtsx,general mining
Bathurst Metals Corp. ,bmvvf,united states,ootc,general mining
Bathurst Resources Ltd. ,b0r,germany,xfra,coal
Bathurst Resources Ltd. ,brl,australia,xasx,coal
Batic Investments & Logistics Co. ,4110,saudi arabia,xsau,trucking
Baticim Bati Anadolu Cimento Sanayii A.S. ,btcim.e,turkey,xist,building materials/products
Batisoke Soke Cimento Sanayii T.A.S. ,bsoke.e,turkey,xist,building materials/products
Batla Minerals ,mlbat,france,xpar,gemstones
Batliboi Ltd. ,522004,india,xbom,industrial machinery
BATM Advanced Communications Ltd. ,bvc,united kingdom,xlon,networking
Battalion Oil Corp. ,batl,united states,xase,oil extraction
Battery Future Acquisition Corp. Cl A ,bfac,united states,xnys,shell companies
Battery Future Acquisition Corp. Un ,bfac.ut,united states,xnys,shell companies
Battery Future Acquisition Corp. Wt ,bfac.wt,united states,xnys,None
Battery Mineral Resources Corp. ,btrmf,united states,ootc,shell companies
Battery Minerals Ltd. ,bat,australia,xasx,general mining
Battery Minerals Ltd. ,btryf,united states,ootc,general mining
Batu Kawan Bhd ,1899,malaysia,xkls,farming
Batulicin Nusantara Maritim ,bess,indonesia,xidx,water transport/shipping
Bauba Resources Ltd. ,bau,south africa,xjse,general mining
Baudax Bio Inc. ,bxrx,united states,xnas,biotechnology
Baudroie Inc. ,4413,japan,xtks,software
Bauer AG ,b5a,united states,xetr,construction
Bauer AG ,0olg,united kingdom,xlon,construction
Bauhaus International (Holdings) Ltd. ,483,hong kong,xhkg,clothing retail
Baumer S/A Ord ,balm3,brazil,bvmf,medical equipment/supplies
Baumot Group AG ,tinc,germany,xham,None
Bausch + Lomb Corp. ,blco,united states,xnys,pharmaceuticals
Bausch + Lomb Corp. ,blco,canada,xtse,pharmaceuticals
Bausch Health Cos. Inc. ,bhc,united states,xnys,pharmaceuticals
