name,symbol,country,exchange,sector
Unitil Corp. ,utl,united states,xnys,electric utilities
Uni-Trend Technology China Co. Ltd. A ,688628,china,xshg,precision products
Unitronics (1989) (RG) Ltd. ,unit,israel,xtae,precision products
Unitronix Corp. ,utrx,united states,ootc,software
Unitrontech Co. Ltd. ,142210,south korea,xkrx,semiconductors
UniTTEC Co. Ltd. A ,000925,china,xshe,industrial electronics
Unity Bancorp Inc. ,unty,united states,xnas,banking
Unity Bank PLC ,unitybnk,nigeria,xnsa,banking
Unity Biotechnology Inc. ,ubx,united states,xnas,biotechnology
Unity Enterprise Holdings Ltd. ,2195,hong kong,xhkg,construction
Unity Foods Ltd. ,unity,pakistan,xkar,clothing
Unity Software Inc. ,u,united states,xnys,toys & games
Univacco Technology Inc. ,3303,taiwan,roco,chemicals
Univance Corp. ,7254,japan,xtks,motor vehicle parts
Univanich Palm Oil PCL ,uvan,thailand,xbkk,food products
Univar Solutions Inc. ,unvr,united states,xnys,wholesalers
Univastu India Ltd. ,univastu,india,xnse,construction
UNIVEC Inc. ,unvc,united states,ootc,medical equipment/supplies
Univentures PCL ,uv,thailand,xbkk,real estate developers
Universal Apparel & Textile Co. ,dkgr,united states,ootc,clothing
Universal Auto Distributors Holding S.A. ,uadh,tunisia,xtun,specialty retail
Universal Cables Ltd. ,504212,india,xbom,None
Universal Cement Corp. ,1104,taiwan,xtai,building materials/products
Universal Copper Ltd. ,ecmxf,united states,ootc,non-ferrous metals
Universal Copper Ltd. ,unv,canada,xtsx,non-ferrous metals
Universal Corp. ,uvv,united states,xnys,tobacco
Universal Corp. ,0ljd,united kingdom,xlon,tobacco
Universal Display Corp. ,oled,united states,xnas,audio/video equipment
Unilever (Ghana) Ltd. ,unil,ghana,xgha,food products
Unilever Caribbean Ltd. ,ucl,trinidad and tobago,xtrn,food products
Unilever Consumer Care Ltd. ,unilevercl,bangladesh,xdha,pharmaceuticals
Unilever Indonesia ,unvr,indonesia,xidx,personal care products/appliances
Unilever Indonesia ,unlrf,united states,ootc,personal care products/appliances
Unilever Indonesia ADR ,unlry,united states,ootc,personal care products/appliances
Unilever Nigeria PLC ,unilever,nigeria,xnsa,food products
Unilever Pakistan Foods Ltd. ,upfl,pakistan,xkar,food products
Unilever PLC ,unlyf,united states,ootc,food products
Unilever PLC ,ulvr,united kingdom,xlon,food products
Unilever PLC ,unvb,united states,xetr,food products
Unilever PLC ,una,netherlands,xams,food products
Unilever PLC ,ulvr,austria,xwbo,food products
Unilever PLC ADR ,ul,united states,xnys,food products
Unilever PLC ADR ,unva,germany,xfra,food products
Unilumin Group Co. Ltd. ,300232,china,xshe,semiconductors
Unima 2000 Systemy Teleinformatyczne S.A. ,u2k,poland,xwar,computer services
Unimech Group Bhd ,7091,malaysia,xkls,industrial machinery
UniMicron Technology Corp. ,3037,taiwan,xtai,industrial electronics
Unimit Engineering PCL ,uec,thailand,xbkk,construction
Unimode Overseas Ltd. ,512595,india,xbom,clothing
Unimot S.A. ,unt,poland,xwar,gas utilities
Union Andina de Cementos S.A.A. ,unacemc1,peru,xlim,building materials/products
Union Assurance PLC ,ual.n0000,sri lanka,xcol,life insurance
Union Auction PCL ,auct,thailand,xbkk,mixed retailing
Union Bancaire pour le Commerce et l'Industrie S.A. ,ubci,tunisia,xtun,banking
Union Bank of Colombo PLC ,ubc.n0000,sri lanka,xcol,banking
Union Bank of India ,532477,india,xbom,None
Union Bank of Nigeria PLC ,ubn,nigeria,xnsa,banking
Union Bank of Taiwan ,2838,taiwan,xtai,banking
Union Bank of Taiwan Pfd. ,2838a,taiwan,xtai,banking
Union Bank of the Philippines ,ubp,philippines,xphs,banking
Union Bankshares Inc. ,unb,united states,xnas,banking
Union Capital Ltd. ,unioncap,bangladesh,xdha,finance companies
Union Community Co. Ltd. ,203450,south korea,xkrx,precision products
Union Construction & Investment ,uci,palestine,xpae,real estate developers
Union Corp. ,000910,south korea,xkrx,building materials/products
Union de Cervecerias Peruanas Backus y Johnston S.A. ,backusi1,peru,xlim,alcoholic beverages/drinks
Union de Cervecerias Peruanas Backus y Johnston S.A. (A share) ,backuac1,peru,xlim,alcoholic beverages/drinks
Union de Cervecerias Peruanas Backus y Johnston S.A. Pfd. B ,backubc1,peru,xlim,alcoholic beverages/drinks
Union Dicon Salt PLC ,uniondicon,nigeria,xnsa,general mining
Union Electric Co. $3.50 Cum. Pfd. ,uepen,united states,ootc,electric utilities
Union Electric Co. $4.00 Cum. Pfd. ,uepem,united states,ootc,electric utilities
Union Electric Co. $5.50 Pfd. A ,uepco,united states,ootc,electric utilities
Union Electric Co. 3.7% Pfd. ,uelmo,united states,ootc,electric utilities
Union Financiere de France Banque S.A. ,0i15,united kingdom,xlon,investment advisors
Union Financiere de France Banque S.A. ,uff,france,xpar,investment advisors
Union Gas Holdings Ltd. ,1f2,singapore,xses,gas utilities
Union Homes REIT PLC ,uhomreit,nigeria,xnsa,mortgage reits
Union Hotels Collection d.d. ,ghur,slovenia,xlju,hotels
Union Insurance Co. Ltd. ,2816,taiwan,xtai,non-life insurance
Union Insurance Co. Ltd. Bangladesh ,unionins,bangladesh,xdha,non-life insurance
Union Insurance Co. P.S.C. ,union,united arab emirates,xads,non-life insurance
Union Internationale de Banques S.A. ,uib,tunisia,xtun,banking
Union Inversora Patrimonial S.A. ,s1707,spain,xmad,mutual & other funds
Union Jack Oil PLC ,ujo,united kingdom,xlon,oil extraction
Union Korea Pharm. Co. Ltd. ,080720,south korea,xkrx,pharmaceuticals
Union Land Development Corp. ,uldc,jordan,xamm,real estate developers
Union Materials Corp. ,047400,south korea,xkrx,industrial products
Union Mosaic Industry PCL ,umi,thailand,xbkk,building materials/products
Union Optech Co. Ltd. A ,300691,china,xshe,precision products
Union Pacific Corp. ,0r2e,united kingdom,xlon,railroads
Union Pacific Corp. ,unp,united states,xnys,railroads
Union Petrochemical PCL ,ukem,thailand,xbkk,chemicals
Union Pioneer PCL ,upf,thailand,xbkk,clothing
Union Plastic PCL ,up,thailand,xbkk,industrial products
Union Properties PJSC ,upp,united arab emirates,xdfm,real estate developers
Union Quality Plastics Ltd. ,526799,india,xbom,containers/packaging
Union Semiconductor Equipment Co. Ltd. ,036200,south korea,xkrx,semiconductors
Union Steel Holdings Ltd. ,bla,singapore,xses,environment/waste management
Union Sugar Estates Co. Ltd. ,unse,mauritius,xmau,farming
Union Technologies Informatique Group S.A. ,fpg,france,xpar,computer services
Union Tool Co. ,6278,japan,xtks,industrial machinery
Unionman Technology Co. Ltd. A ,688609,china,xshg,emerging technologies
UNIOR Kovaska Industrija d.d. ,ukig,slovenia,xlju,industrial products
Unipar Carbocloro S/A Ord ,unip3,brazil,bvmf,chemicals
Uniper SE ,0rj4,united kingdom,xlon,multiutilities
Uniper SE ,unprf,united states,ootc,multiutilities
Uniper SE ,un01,united states,xetr,multiutilities
Uniphar PLC ,upr,united kingdom,xlon,drug retail
Unipharma Co. Ltd. ,6621,taiwan,roco,pharmaceuticals
Uniphos Enterprises Ltd. ,500429,india,xbom,None
Uni-Pixel Inc. ,unxlq,united states,ootc,industrial products
Uniplus Electronics Co. Ltd. ,5381,taiwan,roco,industrial electronics
Unipoint Corp. ,121060,south korea,xkon,computer services
Unipol Gruppo S.p.A. ,0q6m,united kingdom,xlon,full-line insurance
Unipol Gruppo S.p.A. ,uni,italy,xmil,full-line insurance
UnipolSAI Assicurazioni S.p.A. ,us,italy,xmil,non-life insurance
UnipolSAI Assicurazioni S.p.A. ,0q8m,united kingdom,xlon,non-life insurance
Unipos Inc. ,6550,japan,xtks,advertising/marketing/public relations
Unipres Corp. ,5949,japan,xtks,motor vehicle parts
Uni-President China Holdings Ltd. ,220,hong kong,xhkg,non-alcoholic beverages/drinks
Uni-President China Holdings Ltd. ADR ,upchy,united states,ootc,non-alcoholic beverages/drinks
Uni-President Enterprises Corp. ,1216,taiwan,xtai,food products
Unipro OJSC ,upro,russia,misx,electric utilities
UNIQA Insurance Group AG ,0gdr,united kingdom,xlon,full-line insurance
UNIQA Insurance Group AG ,uqa,austria,xwbo,full-line insurance
Unique Engineering & Construction PCL ,uniq,thailand,xbkk,construction
Unique Fabricating Inc. ,ufab,united states,xase,motor vehicle parts
Unique Hotel & Resorts Ltd. ,uniquehrl,bangladesh,xdha,hotels
Unique Logistics International Inc. ,unql,united states,ootc,shell companies
Unique Mining Services PCL ,ums,thailand,xbkk,coal
Unique Opto-Electronics Co. Ltd. ,3441,taiwan,roco,precision products
Unique Organics Ltd. ,530997,india,xbom,food products
Uniquest Corp. ,077500,south korea,xkrx,semiconductors
uniQure N.V. ,qure,united states,xnas,biotechnology
UNIRITA Inc. ,3800,japan,xjas,software
Uniroyal Global Engineered Products Inc. ,unir,united states,ootc,clothing
Uniroyal Industries Ltd. ,521226,india,xbom,clothing
Uniroyal Marine Exports Ltd. ,526113,india,xbom,fishing
Uni-Select Inc. ,unief,united states,ootc,wholesalers
Uni-Select Inc. ,uns,canada,xtse,wholesalers
Unisem (M) Bhd ,5005,malaysia,xkls,semiconductors
Uniserve Communications Corp. ,uss,canada,xtsx,wired telecommunications services
Unishire Urban Infra Ltd. ,537582,india,xbom,real estate developers
Unison Co. Ltd. ,018000,south korea,xkrx,renewable energy generation
Unison Metals Ltd. ,538610,india,xbom,housewares
Unisplendour Corp. Ltd. A ,000938,china,xshe,computers/consumer electronics
Unistar Multimedia Ltd. ,532035,india,xbom,motion picture/sound recording
Unisync Corp. ,uni,canada,xtse,clothing
Unisys Corp. ,uis,united states,xnys,computer services
Unisys Corp. ,usy,united kingdom,xlon,computer services
Unisyst Engineering PLC ,aluf.n0000,sri lanka,xcol,building materials/products
Unit Corp. ,untc,united states,ootc,oil & gas products/services
Unit Corp. Wt ,untcw,united states,ootc,None
Unitas Holdings Ltd. ,8020,hong kong,xhkg,water transport/shipping
Unite & Grow Inc. ,4486,japan,xtks,computer services
Unite de Fabrication de Medicaments S.A. ,umed,tunisia,xtun,pharmaceuticals
Unite Group PLC ,utg,united kingdom,xlon,real estate developers
Unitech Computer Co. Ltd. ,2414,taiwan,xtai,computers/consumer electronics
Unitech Electronics Co. Ltd. ,3652,taiwan,roco,computers/consumer electronics
Unitech International Ltd. ,531867,india,xbom,chemicals
Unitech Ltd. ,507878,india,xbom,real estate developers
Unitech Printed Circuit Board Corp. ,2367,taiwan,xtai,industrial electronics
United & Collective Co. Ltd. ,3557,japan,xtks,restaurants
United Aircraft Corp. JSC ,unac,russia,misx,aerospace products/parts
United Airlines Holdings Inc. ,ual,united states,xnas,passenger airlines
United Airlines Holdings Inc. ,ual,mexico,xmex,passenger airlines
United Airlines Holdings Inc. ,0liu,united kingdom,xlon,passenger airlines
